               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12977,            0.015204,            0.029917,          4.5645e-05,           0.0054945,          2.3185e-05,          2.3185e-06,             0.12934,            0.014484,            0.027878,              0.0016,              0.0016,              0.0856
                   1,             0.11597,            0.015948,             0.02639,                   0,                   0,                   0,                   0,             0.12303,            0.014146,            0.026775,           0.0032347,           0.0032347,            0.070235
                   2,             0.10822,            0.015113,            0.024031,                   0,                   0,                   0,                   0,             0.11869,            0.013691,            0.025064,            0.004802,            0.004802,            0.054802
                   3,             0.10488,            0.015442,            0.022404,           0.0015281,             0.19981,           0.0018425,          0.00034284,             0.11359,            0.014053,            0.024135,            0.006302,            0.006302,            0.039302
                   4,             0.10302,            0.016828,            0.022148,            0.027456,            0.074324,            0.015331,           0.0034972,             0.11385,            0.012033,            0.023092,           0.0077347,           0.0077347,            0.023735
                   5,            0.094037,            0.015079,            0.018149,           0.0079663,             0.20738,           0.0055658,           0.0015496,             0.12258,             0.01178,            0.030981,             0.00901,             0.00901,             0.00901
                   6,            0.093553,            0.016007,            0.016155,             0.16553,             0.11999,            0.059678,            0.012814,             0.11636,            0.011624,            0.047639,             0.00901,             0.00901,             0.00901
                   7,            0.094486,            0.016077,            0.015659,            0.052804,            0.054945,             0.01584,           0.0036992,             0.10752,            0.013944,             0.02355,            0.008812,            0.008812,            0.008812
                   8,            0.091679,            0.014978,            0.016839,             0.12169,             0.12467,            0.020645,           0.0044267,             0.10273,            0.014358,            0.026281,            0.008614,            0.008614,            0.008614
                   9,            0.085803,             0.01465,            0.015907,            0.074705,             0.11115,            0.037479,           0.0088155,             0.10231,            0.013536,            0.026301,            0.008416,            0.008416,            0.008416
                  10,            0.080127,            0.013504,            0.014089,            0.070268,             0.10016,            0.037545,            0.011294,             0.10515,              0.0138,            0.037029,            0.008218,            0.008218,            0.008218
                  11,             0.08348,            0.014636,            0.012582,            0.077548,              0.1289,             0.03277,            0.008065,            0.098723,            0.012432,            0.024684,             0.00802,             0.00802,             0.00802
                  12,              0.0779,            0.014794,            0.012207,             0.19009,             0.19015,            0.083481,            0.023874,            0.089885,            0.012384,            0.016392,            0.007822,            0.007822,            0.007822
                  13,            0.077706,            0.014773,            0.010288,             0.15027,             0.23366,            0.094669,            0.021145,            0.093152,             0.01323,            0.015219,            0.007624,            0.007624,            0.007624
                  14,            0.079494,             0.01414,             0.01014,             0.41047,             0.27933,             0.21233,             0.07187,            0.082547,            0.014111,            0.019313,            0.007426,            0.007426,            0.007426
                  15,            0.078738,            0.014042,           0.0084145,             0.32077,             0.28393,             0.21041,            0.071998,            0.083275,            0.011687,            0.025762,            0.007228,            0.007228,            0.007228
                  16,            0.071852,            0.013341,           0.0082087,              0.4645,             0.32663,             0.29939,            0.096953,            0.084814,            0.012014,            0.016145,             0.00703,             0.00703,             0.00703
                  17,             0.07187,            0.013695,             0.00749,             0.39417,             0.35744,             0.30171,             0.11062,            0.083555,            0.011878,            0.015911,            0.006832,            0.006832,            0.006832
                  18,            0.068223,            0.013815,           0.0079395,             0.45466,             0.43434,             0.41028,             0.15735,             0.07441,            0.010654,            0.016042,            0.006634,            0.006634,            0.006634
                  19,            0.067182,            0.014797,           0.0073627,             0.49904,             0.32284,             0.29822,             0.10541,            0.078804,            0.010567,            0.019978,            0.006436,            0.006436,            0.006436
                  20,            0.067494,            0.014019,            0.006679,             0.48838,             0.37986,             0.37706,             0.14989,            0.075248,            0.010428,            0.018222,            0.006238,            0.006238,            0.006238
                  21,            0.065518,            0.013282,           0.0068508,             0.64766,              0.3368,             0.38287,             0.15964,            0.075439,            0.010846,             0.02443,             0.00604,             0.00604,             0.00604
                  22,            0.062906,            0.013676,           0.0053482,             0.53253,             0.41782,             0.42041,             0.17641,            0.076698,             0.01039,            0.015931,            0.005842,            0.005842,            0.005842
