               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13418,            0.014902,            0.029934,          8.7467e-05,            0.012251,          4.6094e-05,          1.2287e-05,             0.13408,             0.01425,            0.029227,              0.0008,              0.0008,              0.0928
                   1,             0.12629,            0.015926,            0.028497,                   0,                   0,                   0,                   0,             0.12471,            0.014969,            0.026925,           0.0016944,           0.0016944,            0.084694
                   2,              0.1186,            0.015215,            0.026077,            0.000181,            0.017746,          0.00012871,          3.9102e-05,             0.12103,            0.014368,            0.024713,           0.0025828,           0.0025828,            0.076583
                   3,             0.11624,            0.015139,            0.023353,           0.0010035,            0.091699,          0.00068058,          0.00017729,             0.11588,            0.014746,            0.019034,           0.0034654,           0.0034654,            0.068465
                   4,             0.11012,            0.016102,            0.022414,           0.0021534,             0.26745,           0.0025101,          0.00057534,             0.10877,            0.014568,            0.015434,           0.0043419,           0.0043419,            0.060342
                   5,             0.10211,            0.016946,            0.019671,            0.013851,             0.19773,            0.025862,           0.0049437,             0.10507,             0.01436,            0.015326,           0.0052126,           0.0052126,            0.052213
                   6,            0.093451,             0.01606,            0.016729,            0.058921,            0.069721,            0.019708,           0.0043387,             0.11057,            0.012587,            0.014088,           0.0060772,           0.0060772,            0.044077
                   7,            0.093534,            0.016168,            0.014877,            0.058525,             0.10224,            0.030009,           0.0078025,             0.10319,            0.014954,            0.011699,            0.006936,            0.006936,            0.035936
                   8,            0.090715,             0.01488,            0.012804,             0.12213,             0.17829,            0.066382,            0.016275,             0.11694,            0.013019,            0.014985,           0.0077888,           0.0077888,            0.027789
                   9,             0.09621,            0.012636,           0.0099147,            0.018863,             0.38692,            0.037579,            0.013686,             0.11575,            0.016753,            0.064218,           0.0086357,           0.0086357,            0.019636
                  10,            0.085065,            0.013311,           0.0097384,             0.12845,             0.13736,            0.088308,            0.021215,             0.10169,            0.015185,            0.023568,           0.0094766,           0.0094766,            0.011477
                  11,            0.085037,             0.01428,           0.0090526,             0.10884,             0.16944,            0.061967,            0.018435,            0.096762,            0.013794,            0.014573,            0.009637,            0.009637,            0.009637
                  12,            0.082901,            0.014371,           0.0092044,              0.3737,            0.072691,            0.018645,           0.0042116,             0.12382,             0.01271,            0.030749,            0.009637,            0.009637,            0.009637
                  13,            0.077526,             0.01463,            0.011157,             0.12779,             0.17033,             0.10067,            0.026489,            0.098491,            0.022091,            0.027026,            0.009604,            0.009604,            0.009604
                  14,            0.077594,            0.013799,           0.0095002,             0.59018,             0.12088,             0.10855,            0.033764,             0.10517,            0.039152,            0.029992,            0.009571,            0.009571,            0.009571
                  15,            0.082667,            0.014248,           0.0093308,             0.61435,             0.17582,            0.086807,            0.022335,            0.092185,            0.061452,             0.03323,            0.009538,            0.009538,            0.009538
                  16,            0.076164,            0.013585,            0.010842,             0.10588,              0.2033,            0.095793,            0.035047,            0.088556,            0.032428,            0.026524,            0.009505,            0.009505,            0.009505
