               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.077267,            0.012285,           0.0072791,             0.50013,            0.046035,             0.25287,             0.17695,             0.12692,            0.013865,             0.11805,            0.008845,            0.008845,            0.008845
                  37,            0.075401,            0.013292,            0.005866,             0.51675,            0.027027,            0.018309,           0.0070089,             0.11679,            0.014776,              0.1093,            0.008812,            0.008812,            0.008812
                  38,            0.076056,            0.013469,           0.0060173,             0.17175,             0.11576,             0.06153,             0.01509,             0.10995,            0.014451,            0.091763,            0.008779,            0.008779,            0.008779
                  39,            0.073389,            0.012868,           0.0045832,             0.24692,             0.17872,              0.1471,            0.049493,            0.090459,             0.01519,            0.057395,            0.008746,            0.008746,            0.008746
                  40,              0.0708,            0.013517,           0.0041279,             0.26292,              0.2079,             0.13032,            0.050983,            0.091077,            0.013912,            0.037572,            0.008713,            0.008713,            0.008713
                  41,            0.070814,            0.012448,           0.0039885,             0.15415,             0.14828,            0.084765,            0.024828,            0.092959,            0.014091,            0.046271,             0.00868,             0.00868,             0.00868
                  42,             0.06875,            0.012425,           0.0030812,             0.23619,             0.19899,             0.13134,            0.046365,            0.092102,            0.014978,            0.032845,            0.008647,            0.008647,            0.008647
                  43,            0.066938,            0.011371,           0.0032552,             0.27895,             0.28943,             0.20153,            0.075038,            0.089194,            0.015624,            0.015923,            0.008614,            0.008614,            0.008614
                  44,            0.066664,            0.011858,           0.0041991,             0.36149,             0.14176,            0.093789,            0.028345,            0.098681,            0.023183,            0.084177,            0.008581,            0.008581,            0.008581
                  45,            0.066028,            0.013754,            0.004705,             0.16279,            0.060811,            0.068904,            0.020985,            0.098893,            0.017067,            0.090747,            0.008548,            0.008548,            0.008548
                  46,            0.071594,            0.013686,           0.0051609,             0.18473,             0.19936,            0.058265,             0.02208,            0.092557,            0.022085,            0.079871,            0.008515,            0.008515,            0.008515
                  47,            0.066781,            0.013649,           0.0043653,             0.34835,             0.23114,             0.17643,            0.061953,            0.087909,            0.013794,            0.038909,            0.008482,            0.008482,            0.008482
                  48,            0.065916,             0.01186,             0.00374,             0.27848,             0.34734,             0.23423,            0.093552,            0.084769,             0.01713,            0.016142,            0.008449,            0.008449,            0.008449
                  49,            0.063921,            0.011722,           0.0064044,             0.27701,             0.35157,             0.21586,            0.076866,             0.08336,            0.013644,            0.012607,            0.008416,            0.008416,            0.008416
                  50,            0.059982,            0.012629,           0.0043674,             0.32292,             0.26032,             0.21636,            0.081758,            0.077716,            0.014808,            0.016228,            0.008383,            0.008383,            0.008383
                  51,            0.057315,            0.011814,           0.0029983,             0.28997,             0.36932,             0.23338,            0.086621,            0.080818,            0.015548,            0.010162,             0.00835,             0.00835,             0.00835
                  52,            0.067084,            0.011957,           0.0026334,             0.25666,             0.31101,             0.20265,            0.078673,            0.076188,            0.014405,           0.0085563,            0.008317,            0.008317,            0.008317
                  53,            0.059277,            0.014229,           0.0038524,             0.35129,             0.32384,             0.23781,            0.092386,            0.078352,            0.016487,            0.004287,            0.008284,            0.008284,            0.008284
                  54,            0.062512,            0.011068,           0.0028472,             0.35926,             0.30509,               0.233,            0.083057,            0.078562,            0.014094,             0.01242,            0.008251,            0.008251,            0.008251
                  55,             0.05708,            0.011032,           0.0029726,             0.42133,             0.26916,             0.22504,            0.077221,            0.082729,            0.013594,            0.026911,            0.008218,            0.008218,            0.008218
                  56,            0.060324,            0.011374,           0.0039132,             0.41809,             0.34482,              0.2903,             0.10003,            0.076791,            0.014965,           0.0097293,            0.008185,            0.008185,            0.008185
                  57,            0.058986,            0.010916,           0.0031116,             0.28495,              0.2451,             0.15807,            0.040424,            0.084654,            0.012839,            0.010369,            0.008152,            0.008152,            0.008152
                  58,            0.062287,            0.010674,           0.0028209,              0.3472,             0.41498,             0.24684,            0.088647,            0.079471,            0.011231,            0.012246,            0.008119,            0.008119,            0.008119
                  59,            0.060002,            0.011322,           0.0041375,             0.58813,               0.331,             0.33322,             0.14828,            0.072813,            0.011144,            0.015234,            0.008086,            0.008086,            0.008086
                  60,            0.058541,            0.010345,           0.0046824,              0.3619,             0.25906,             0.21611,            0.057504,            0.083635,             0.01018,            0.013056,            0.008053,            0.008053,            0.008053
