               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12879,            0.030308,            0.030202,          3.5014e-05,           0.0067568,           1.796e-05,          3.5919e-06,             0.12251,            0.027864,            0.027601,              0.0008,              0.0008,              0.0928
                   1,             0.11719,            0.028898,            0.028181,          0.00049322,              0.0545,          0.00028257,          5.2771e-05,              0.1149,            0.024277,            0.025695,           0.0016966,           0.0016966,            0.084697
                   2,             0.10585,            0.024631,            0.025358,           0.0020876,             0.24673,           0.0036555,          0.00072986,            0.099242,            0.023046,            0.024067,           0.0025897,           0.0025897,             0.07659
                   3,             0.09508,            0.023468,             0.02321,            0.023406,              0.4504,            0.051592,            0.010266,             0.09082,            0.021809,            0.021568,           0.0034792,           0.0034792,            0.068479
                   4,            0.085453,            0.024008,            0.019888,             0.10459,             0.14657,            0.053066,             0.01716,            0.085406,            0.022153,            0.018762,           0.0043652,           0.0043652,            0.060365
                   5,            0.085242,            0.022057,            0.016383,            0.052138,             0.11791,            0.037914,           0.0084053,             0.10895,            0.019904,            0.015501,           0.0052475,           0.0052475,            0.052248
                   6,            0.088865,            0.020357,            0.013491,            0.083227,             0.15043,            0.048446,            0.011243,             0.10076,            0.019626,            0.013477,           0.0061263,           0.0061263,            0.044126
                   7,            0.085311,            0.021092,           0.0098945,             0.27757,             0.32952,             0.19384,            0.066948,             0.08963,            0.017802,           0.0093576,           0.0070016,           0.0070016,            0.036002
                   8,            0.080431,            0.018832,            0.008918,             0.20929,             0.20285,             0.14605,             0.03579,            0.096115,            0.013843,              0.0125,           0.0078733,           0.0078733,            0.027873
                   9,            0.081183,            0.017098,           0.0078392,             0.24369,             0.15389,             0.12648,            0.037557,            0.088101,            0.017268,            0.017294,           0.0087414,           0.0087414,            0.019741
                  10,            0.076048,            0.016723,           0.0075817,             0.30447,             0.22904,             0.15046,            0.050804,            0.092542,            0.015965,            0.026436,            0.009606,            0.009606,            0.011606
                  11,            0.073092,             0.01743,           0.0075224,             0.27443,             0.21365,             0.13804,            0.037402,             0.07875,            0.018354,            0.021193,           0.0097822,           0.0097822,           0.0097822
                  12,            0.071054,            0.018013,           0.0056991,             0.60477,            0.098901,            0.084395,            0.019919,            0.087825,            0.025193,            0.031114,           0.0097822,           0.0097822,           0.0097822
                  13,             0.06797,            0.017541,           0.0065267,              0.2548,             0.22817,             0.12177,            0.043459,            0.085488,            0.016746,            0.017679,           0.0097624,           0.0097624,           0.0097624
                  14,            0.069412,            0.016587,           0.0055614,             0.40585,             0.25105,             0.20824,            0.083277,             0.08495,            0.017267,            0.021309,           0.0097426,           0.0097426,           0.0097426
                  15,            0.065074,            0.017223,           0.0061462,             0.48027,             0.29284,             0.23925,            0.086139,            0.071992,            0.023485,            0.027158,           0.0097228,           0.0097228,           0.0097228
                  16,            0.061613,            0.016198,           0.0056914,             0.43617,             0.28901,               0.199,            0.066416,            0.072759,            0.020013,            0.027583,            0.009703,            0.009703,            0.009703
                  17,            0.060675,            0.016927,           0.0056399,             0.57275,             0.41409,             0.36295,             0.14533,            0.064608,            0.018972,           0.0083293,           0.0096832,           0.0096832,           0.0096832
                  18,            0.058896,            0.016015,           0.0036471,             0.32103,             0.39289,             0.28813,            0.099581,            0.068889,            0.015161,            0.009536,           0.0096634,           0.0096634,           0.0096634
                  19,            0.060278,            0.016707,            0.003491,             0.28132,             0.24465,             0.19459,            0.079026,            0.072724,            0.018194,            0.016788,           0.0096436,           0.0096436,           0.0096436
                  20,            0.053309,            0.015565,           0.0031935,             0.32446,             0.29069,             0.25043,             0.10972,               0.069,            0.016792,            0.016118,           0.0096238,           0.0096238,           0.0096238
                  21,            0.057562,            0.015026,           0.0022098,             0.31148,             0.26195,             0.18876,            0.083069,            0.066812,            0.017979,            0.025415,            0.009604,            0.009604,            0.009604
                  22,            0.054648,            0.015173,            0.002837,             0.40582,             0.38914,              0.3276,             0.13354,            0.062682,            0.014873,            0.010801,           0.0095842,           0.0095842,           0.0095842
                  23,            0.053939,            0.014721,           0.0029841,             0.56418,             0.35195,             0.38657,             0.17111,            0.057018,             0.01624,             0.01563,           0.0095644,           0.0095644,           0.0095644
                  24,            0.055065,            0.014114,           0.0036304,              0.2249,             0.30762,             0.19295,            0.059197,            0.070887,            0.013848,            0.016682,           0.0095446,           0.0095446,           0.0095446
                  25,            0.058627,            0.014109,           0.0034248,              0.3455,              0.3114,             0.28357,             0.11681,             0.06012,            0.016649,            0.011047,           0.0095248,           0.0095248,           0.0095248
                  26,            0.053795,             0.01395,           0.0032924,             0.56479,             0.35744,             0.36474,             0.12943,            0.059656,            0.016261,            0.008976,            0.009505,            0.009505,            0.009505
                  27,            0.053843,            0.013587,           0.0027768,             0.56275,             0.40986,              0.4494,             0.20862,            0.053728,            0.015171,            0.011189,           0.0094852,           0.0094852,           0.0094852
                  28,            0.048138,            0.013425,           0.0027067,             0.47994,             0.36977,             0.36451,             0.12268,            0.058958,            0.013751,            0.021658,           0.0094654,           0.0094654,           0.0094654
                  29,             0.05178,            0.014808,            0.003059,             0.51475,             0.30297,             0.33147,             0.16561,            0.056941,            0.014346,            0.018252,           0.0094456,           0.0094456,           0.0094456
                  30,            0.047561,            0.014426,            0.001833,             0.64044,             0.38536,             0.44885,             0.16864,            0.055768,            0.014035,           0.0076845,           0.0094258,           0.0094258,           0.0094258
                  31,            0.047532,            0.014374,           0.0018138,             0.63544,             0.48381,             0.50729,             0.22586,            0.050885,            0.013679,           0.0087596,            0.009406,            0.009406,            0.009406
                  32,            0.047406,            0.012975,           0.0030247,             0.72836,             0.50661,             0.55899,             0.26365,            0.051714,            0.012413,           0.0079341,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04782,            0.013607,           0.0026318,             0.58171,             0.49859,             0.49737,             0.22707,            0.052464,            0.012681,            0.012002,           0.0093664,           0.0093664,           0.0093664
                  34,            0.049271,            0.013491,           0.0023307,             0.62751,             0.56562,             0.57069,             0.26818,            0.049415,            0.012494,            0.010183,           0.0093466,           0.0093466,           0.0093466
                  35,            0.048347,            0.013163,           0.0017791,             0.77449,             0.48671,             0.56571,             0.25284,            0.053204,            0.012849,           0.0063114,           0.0093268,           0.0093268,           0.0093268
                  36,            0.046528,            0.011472,           0.0019404,             0.69633,             0.54039,             0.56835,             0.27718,            0.052912,            0.013003,           0.0075582,            0.009307,            0.009307,            0.009307
                  37,            0.047527,            0.013218,            0.001418,             0.65152,             0.52814,             0.55898,             0.29457,            0.049319,            0.012611,           0.0075003,           0.0092872,           0.0092872,           0.0092872
