               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1304,            0.030611,            0.030528,                   0,                   0,                   0,                   0,              0.1264,            0.027278,            0.028556,              0.0004,              0.0004,              0.0964
                   1,             0.12291,            0.030677,            0.029628,          3.1297e-05,           0.0067568,          1.6343e-05,          1.6343e-06,             0.11985,            0.025713,            0.028605,          0.00089703,          0.00089703,            0.091897
                   2,              0.1155,            0.026511,            0.027391,          0.00022667,            0.039278,          0.00013264,           3.596e-05,             0.11161,              0.0226,            0.027484,           0.0013908,           0.0013908,            0.087391
                   3,             0.10681,            0.024293,            0.025929,           0.0013712,             0.17827,           0.0010046,          0.00023846,             0.10669,            0.020556,            0.025383,           0.0018812,           0.0018812,            0.082881
                   4,            0.098914,            0.024204,            0.023947,           0.0037274,               0.485,           0.0095149,           0.0017224,             0.10538,             0.01892,            0.024953,           0.0023683,           0.0023683,            0.078368
                   5,            0.092245,            0.024479,            0.021442,            0.032306,            0.059193,            0.014887,           0.0031566,             0.09631,            0.018049,            0.022892,           0.0028522,           0.0028522,            0.073852
                   6,            0.085502,            0.023412,            0.019699,            0.082697,            0.085313,            0.025826,           0.0063597,             0.10586,            0.015795,             0.01895,           0.0033327,           0.0033327,            0.069333
                   7,            0.083183,            0.024869,            0.017019,            0.033723,             0.12504,            0.017082,           0.0040651,              0.1038,            0.015496,            0.017014,           0.0038099,           0.0038099,             0.06481
                   8,            0.078939,            0.021299,            0.014687,             0.12235,             0.23871,             0.10447,            0.023367,            0.082761,            0.017836,            0.016447,           0.0042838,           0.0042838,            0.060284
                   9,            0.078666,            0.019865,            0.012316,             0.24204,             0.18169,             0.13785,            0.035729,            0.095982,            0.014284,            0.015018,           0.0047545,           0.0047545,            0.055754
                  10,            0.076496,            0.018492,            0.010088,              0.2336,             0.30925,             0.17986,            0.061393,            0.082912,            0.016404,            0.017273,           0.0052218,           0.0052218,            0.051222
                  11,              0.0771,            0.019044,           0.0084352,            0.069396,             0.13098,            0.035833,           0.0061552,            0.099373,            0.012252,            0.028992,           0.0056858,           0.0056858,            0.046686
