               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12631,            0.030147,            0.029847,          9.3896e-05,            0.012251,          4.8716e-05,          4.8716e-06,             0.12228,            0.026367,            0.027454,              0.0016,              0.0016,              0.0856
                   1,             0.11421,            0.027017,            0.027446,          0.00083176,             0.11828,            0.001075,          0.00029511,             0.10742,             0.02209,            0.026524,           0.0032891,           0.0032891,            0.070289
                   2,             0.10072,            0.023356,            0.023892,           0.0013332,             0.18674,           0.0013222,          0.00029375,              0.1118,            0.018696,            0.025479,            0.004967,            0.004967,            0.054967
                   3,            0.093198,            0.021924,            0.020661,            0.028814,            0.019008,           0.0090468,           0.0017947,             0.10428,            0.017589,            0.020118,           0.0066337,           0.0066337,            0.039634
                   4,            0.087432,            0.021787,            0.017829,            0.081611,             0.14234,            0.052087,             0.01583,            0.091476,            0.017733,            0.015507,           0.0082891,           0.0082891,            0.024289
                   5,            0.091907,            0.019222,            0.014256,             0.05972,             0.11665,            0.026588,            0.006147,             0.10083,            0.016049,            0.017322,            0.009835,            0.009835,            0.009835
                   6,            0.082508,            0.020995,            0.010538,             0.12823,             0.19672,            0.091311,            0.022411,            0.086542,            0.017485,            0.020643,            0.009835,            0.009835,            0.009835
                   7,            0.080131,             0.02019,           0.0086824,             0.15968,             0.23879,            0.091602,            0.022717,            0.089332,            0.017251,            0.028862,            0.009802,            0.009802,            0.009802
                   8,            0.073967,            0.019489,            0.010645,             0.23091,             0.25564,             0.15274,            0.057023,            0.080006,            0.016769,            0.017599,            0.009769,            0.009769,            0.009769
                   9,            0.070176,            0.018523,            0.006045,             0.29545,             0.32447,             0.24671,            0.093576,            0.077059,            0.015484,             0.02202,            0.009736,            0.009736,            0.009736
                  10,            0.072254,            0.016824,           0.0072403,              0.3419,             0.33635,             0.21797,            0.066069,            0.085408,            0.014686,            0.022745,            0.009703,            0.009703,            0.009703
                  11,            0.070379,            0.018208,           0.0073877,             0.29547,             0.38194,             0.22442,            0.076206,            0.074073,            0.015521,            0.018232,             0.00967,             0.00967,             0.00967
                  12,            0.067043,            0.017399,           0.0062308,              0.4079,             0.38617,             0.27996,             0.10803,            0.071524,            0.015357,            0.015241,            0.009637,            0.009637,            0.009637
                  13,            0.063763,            0.017179,           0.0053115,             0.44762,             0.30376,             0.28864,             0.11271,            0.073624,              0.0164,            0.010014,            0.009604,            0.009604,            0.009604
                  14,            0.061578,             0.01615,             0.00592,             0.42329,             0.27376,             0.27758,             0.10721,             0.06661,            0.015454,            0.012384,            0.009571,            0.009571,            0.009571
                  15,            0.061199,            0.016128,           0.0042258,             0.61897,             0.37234,             0.38109,             0.15946,            0.065398,             0.01487,            0.018092,            0.009538,            0.009538,            0.009538
                  16,            0.061537,            0.015353,            0.003702,              0.7007,             0.41771,             0.50425,              0.2258,            0.066862,            0.014133,             0.01423,            0.009505,            0.009505,            0.009505
                  17,            0.059989,            0.015789,           0.0046409,             0.38565,             0.40257,             0.35298,             0.13603,            0.067847,            0.013245,            0.019277,            0.009472,            0.009472,            0.009472
                  18,            0.058374,            0.015262,           0.0034912,             0.51043,             0.53584,              0.4565,             0.18349,            0.060299,            0.013366,            0.011002,            0.009439,            0.009439,            0.009439
                  19,            0.059314,            0.016478,           0.0030219,             0.52161,              0.3878,             0.40202,             0.13587,             0.06359,            0.015392,            0.010999,            0.009406,            0.009406,            0.009406
                  20,            0.056743,            0.015175,           0.0029654,             0.56011,             0.46874,             0.46924,             0.20114,            0.062564,            0.013548,            0.010521,            0.009373,            0.009373,            0.009373
